,Food,Beer,Smoke,Games,Books,Hshld,Clths,Hlth,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal,Oil,Util,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin,Other
1992-02,1.0464838084627923e-08,0.9999999999992377,1.0,0.08488164607435103,0.9999999999999938,0.999997239378829,0.999690963512477,2.354015838463532e-07,0.9999999945066285,0.3751773066506793,1.0,0.999999995177518,0.9999999999797415,6.139048094832347e-31,0.9997750995680718,1.1918350736441945e-12,0.9896640379377616,1.1468604822578569e-92,0.9999997537570738,3.275374651323398e-38,0.055669581057009594,1.896363376590215e-20,1.1646348164045634e-09,3.159287729284598e-08,1.9515715385980335e-10,0.008436519017086709,0.8234221202849483,0.0027765515866435032,1.507562809824914e-09,1.0
1992-03,0.025962362865439244,1.0,1.0,0.9999999933719275,0.008057887135883044,0.0001046937734751554,6.410423443178888e-12,2.3281724765101772e-67,0.0007305311856577124,0.005945349239348296,0.00115269567226456,1.9823315034524394e-08,0.9999988819560601,4.3818508754678175e-12,1.0,1.7855393423199164e-05,1.0,1.861230017341213e-25,0.9959487907982466,3.99144356954874e-50,0.022333785201669728,0.7842470498868235,0.9970959726190636,0.9999999999991447,1.0,0.0001433996595041516,4.342602899018476e-09,8.355164655765591e-17,6.778676673074708e-33,0.00019325128248156185
1992-04,3.7068839842858422e-06,6.584371695859374e-10,3.5887088583114395e-17,0.00012287822844720238,3.924158224517362e-11,1.4105071437343583e-24,1.0,1.5302962368625096e-98,0.09478055164346406,1.4834108732590627e-34,0.018689704914173943,8.348644332947992e-09,3.2608630808711578e-15,1.0,0.9999999830813527,0.9999160585098338,1.0,1.0,5.278978960426707e-06,2.5480074715127065e-08,2.477890749095356e-19,0.00011514642769158266,1.2540893365009663e-16,3.7801075233468073e-13,2.757883388465784e-21,2.004127921763527e-06,4.2079723572799794e-17,9.969552389805417e-57,1.1632310321657767e-61,0.0012721625660496796
1992-05,0.9999998269038523,5.2548919618714394e-18,0.999999999988854,0.9999999404192506,5.4323971424888556e-89,0.9999998415471772,0.9995568789728045,9.38704905871336e-06,0.9999998258111379,0.9999999880359406,1.0,0.0004693618892953016,0.9999891650639792,0.0014835992514122323,2.6407532490078144e-13,1.0,3.7744324115705758e-22,1.0,1.0,0.0005487016678026412,0.11047942593293386,0.9999999970060112,1.0,0.9999999999998457,8.038200283126604e-07,0.9999999999999893,0.9999999920945937,0.999994550337711,4.05978379403446e-48,2.5103837495277626e-66
1992-06,1.115604816422442e-18,7.896268810338663e-43,1.0,0.9999999425600171,7.835152993470597e-137,0.9999999897514171,1.5920547637336476e-24,7.62089699336526e-19,8.012883676474832e-20,0.03886315867153297,0.9983981609721836,1.0,2.7733328127967993e-09,1.6098501864367372e-12,0.9999999999999867,2.5187075293111907e-12,4.053019602934045e-14,1.0,1.0,1.4397062067451369e-08,0.20532181625318804,0.9998305646891372,0.9999999999840474,4.763690945266679e-56,8.220183017000277e-27,0.9999960335150989,0.9999767067708416,2.978018602952915e-28,1.3988506592798236e-26,2.813100984800375e-07
1992-07,2.8905922690102988e-52,1.0,0.9999999990853783,0.9834473975235617,9.575948378082935e-110,8.973620857155724e-31,2.7605604674181977e-48,1.3217269450098051e-75,2.7019559056090417e-08,4.096787394592782e-14,1.0607969483071201e-08,0.9999999999999976,0.9999999835471873,5.320216338264149e-29,1.0,0.9999997970184478,1.0,1.5601622002283768e-97,0.999999999999964,0.3000259292387224,0.0006869920528210919,0.0010357558702281044,3.745569200732466e-24,1.0,1.1135813872070354e-28,0.9999368868744553,2.908682271798736e-21,5.413012859135496e-151,9.792951958391287e-19,0.002245634189035987
1992-08,0.9999999999919948,0.9981898043424916,0.9999999999999316,0.9999999999774531,1.0,0.9999875951602988,1.1830977506094535e-54,4.213716303690925e-06,0.9999999998945073,6.602335451132422e-11,6.704530969725869e-07,8.528356012809662e-28,1.2078219089903103e-07,3.3145940810480825e-28,0.9999999999944031,0.9999999999999964,0.9999999992500344,5.174290403073127e-19,0.9999999999999452,0.002786368308374972,0.9995194868375247,6.953260701362958e-08,0.01817776519221303,1.809247042447601e-69,1.0,1.849872024470257e-13,0.9999999484795468,2.320324373338137e-99,2.408289762876217e-09,2.1395111366949556e-17
1992-09,0.9999765043538693,5.695406661854755e-31,1.0,2.905074725091301e-119,5.826496333108745e-07,5.1627605865011455e-20,4.068437399806561e-21,1.882303120632831e-46,9.916732791025105e-39,1.0,0.9999999999999938,3.236277300101472e-45,8.592947106142415e-17,1.5299582466425613e-07,0.00018551711224390282,0.9999999738526438,1.0,1.0,0.9999999999998579,2.73681131032251e-09,0.0017395507531701377,5.046250344951458e-11,1.0,1.6180397597820065e-16,5.946200903461195e-07,0.9999999302273967,2.3142708705255825e-08,0.006316695966977788,0.9666504715691766,3.752545588393691e-12
1992-10,5.375150883455744e-09,2.460952160072919e-80,0.9999999999999423,2.512597217061801e-05,1.658285008895033e-40,1.813570558961694e-37,3.913520229375883e-82,1.7350424188691016e-119,3.824041613072371e-68,3.4724836092707875e-40,2.7366971491792956e-60,1.3591756246102316e-130,2.0713403520683225e-90,2.1100482589220697e-91,6.841534895030201e-26,2.544225227722047e-73,7.753656020016641e-56,5.4591329814449055e-73,8.575536786109072e-15,2.468157455634387e-08,0.9999999999912248,4.78200458188504e-49,5.983429945911258e-97,1.4934903777555244e-53,0.9999999999999978,1.23787102744201e-36,6.013216133306505e-17,1.0,2.476957172329712e-38,7.781634476078213e-35
1992-11,5.375398546288528e-05,0.9999987865463446,1.0,0.9999999999973426,1.0,0.9999999528932884,0.9999971941311627,6.548690411160337e-23,1.8322994059210322e-07,1.0,4.1720743677502157e-07,2.8897926988544923e-05,0.999999999941448,0.997665016936374,0.9981037398260038,0.9998426556530495,1.0,0.9999999919192335,0.01130963691930545,8.719298826375888e-06,0.04005924540017233,9.316779953876638e-07,0.9999999974306326,1.0,0.0022986372729265603,4.129658420948058e-11,0.9679626752368381,1.0,0.9999999999994844,0.002193092264577402
