mktrf,smb,hml,rmw,cma,rf,umd,dateff
-0.056800,-0.029000,0.054100,-0.015800,0.026000,0.00520,0.063600,1973-04-30
-0.029400,-0.061700,0.004100,0.019500,-0.015700,0.00510,0.071400,1973-05-31
-0.015700,-0.024800,0.012000,-0.002100,0.001100,0.00510,0.043000,1973-06-29
0.050500,0.072600,-0.053100,-0.000500,-0.032800,0.00640,-0.115700,1973-07-31
-0.038200,-0.018400,0.012400,-0.013100,0.013000,0.00700,0.034600,1973-08-31
0.047500,0.036000,0.020100,-0.023300,0.017700,0.00680,-0.070000,1973-09-28
-0.008300,-0.003800,0.019400,-0.019000,0.027100,0.00650,0.068700,1973-10-31
-0.127500,-0.072800,0.038700,-0.026300,0.017300,0.00560,0.086600,1973-11-30
0.006100,-0.046900,0.038500,-0.027800,0.024800,0.00640,0.103800,1973-12-31
-0.001700,0.104100,0.060200,-0.030700,0.044200,0.00630,-0.088500,1974-01-31
-0.004700,0.000600,0.028100,-0.018700,0.026300,0.00580,0.003200,1974-02-28
-0.028100,0.026500,-0.003200,0.028000,0.004400,0.00560,-0.010500,1974-03-29
-0.052900,-0.007000,0.008500,0.028700,0.020900,0.00750,0.021100,1974-04-30
-0.046800,-0.030700,-0.020200,0.049500,-0.004200,0.00750,-0.003900,1974-05-31
-0.028300,0.000000,0.007700,0.005700,0.029400,0.00600,0.023100,1974-06-28
-0.080500,0.019200,0.051600,-0.032500,0.046000,0.00700,0.031100,1974-07-31
-0.093500,0.002600,0.026400,-0.002800,0.025900,0.00600,0.030000,1974-08-30
-0.117700,0.014800,0.055800,-0.044400,0.059100,0.00810,0.042400,1974-09-30
0.161000,-0.068200,-0.098700,-0.002100,-0.028600,0.00510,-0.005400,1974-10-31
-0.045100,-0.014800,-0.002000,-0.033700,0.029200,0.00540,0.021300,1974-11-29
-0.034500,-0.043500,0.001100,-0.006800,0.032500,0.00700,0.029200,1974-12-31
0.136600,0.129100,0.082800,-0.007800,-0.009000,0.00580,-0.138200,1975-01-31
0.055600,-0.006500,-0.044400,0.011600,-0.021000,0.00430,-0.006100,1975-02-28
0.026600,0.040000,0.023800,0.012600,-0.013300,0.00410,-0.020400,1975-03-31
0.042300,-0.007100,-0.011400,0.014100,-0.013400,0.00440,0.013800,1975-04-30
0.051900,0.028900,-0.041000,-0.009800,-0.006000,0.00440,-0.005800,1975-05-30
0.048300,0.014300,0.013800,-0.026600,0.010600,0.00410,0.000400,1975-06-30
-0.065900,0.034400,0.016900,0.004600,0.012200,0.00480,0.004200,1975-07-31
-0.028500,-0.028400,-0.009500,0.011100,-0.009300,0.00480,-0.001000,1975-08-29
-0.042600,0.000500,0.003900,0.005300,0.005500,0.00530,0.004100,1975-09-30
0.053100,-0.042300,0.002800,-0.004900,0.022600,0.00560,-0.001600,1975-10-31
0.026400,-0.010900,0.020300,-0.006800,0.017500,0.00410,-0.004500,1975-11-28
